,Unnamed: 0,adr_address,name,price_level,rating,serves_breakfast,serves_dinner,takeout,types,serves_lunch
22,0,"<span class=""street-address"">25 S High School Rd</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46241</span>, <span class=""country-name"">USA</span>",Bob Evans,2.0,3.7,True,True,True,meal_takeaway,
10,0,"<span class=""street-address"">2544 Executive Dr</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46241</span>, <span class=""country-name"">USA</span>",Nicolino's Restaurant & Lounge,2.0,3.8,True,True,True,bar,
49,0,"<span class=""street-address"">49 W Maryland St</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46204</span>, <span class=""country-name"">USA</span>",A&W Restaurant,1.0,4.0,True,True,True,restaurant,True
35,0,"<span class=""street-address"">511 S Rangeline Rd</span>, <span class=""locality"">Carmel</span>, <span class=""region"">IN</span> <span class=""postal-code"">46032-2140</span>, <span class=""country-name"">USA</span>",Cancun Mexican Restaurant,1.0,4.0,False,True,True,restaurant,True
26,0,"<span class=""street-address"">2989 W 71st St</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46268</span>, <span class=""country-name"">USA</span>",Tu Casa Restaurant,2.0,4.1,True,True,True,restaurant,
19,0,"<span class=""street-address"">6930 S Emerson Ave</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46237</span>, <span class=""country-name"">USA</span>",O'Charley's Restaurant & Bar,2.0,4.1,True,True,True,restaurant,
24,0,"<span class=""street-address"">35 N Illinois St</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46204</span>, <span class=""country-name"">USA</span>",Buca di Beppo Italian Restaurant,2.0,4.1,False,True,True,restaurant,
0,0,"<span class=""street-address"">118 S Girls School Rd</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46231-1120</span>, <span class=""country-name"">USA</span>",Paragon Restaurant,1.0,4.2,True,True,True,restaurant,
40,0,"<span class=""street-address"">10 N Illinois St</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46204</span>, <span class=""country-name"">USA</span>",Weber Grill Restaurant,2.0,4.2,False,True,True,bar,True
39,0,"<span class=""street-address"">8920 Wesleyan Rd</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46268-1148</span>, <span class=""country-name"">USA</span>",El Mezcal Mexican Restaurant,2.0,4.2,False,True,True,restaurant,True
12,0,"<span class=""street-address"">2685 E Main St #121</span>, <span class=""locality"">Plainfield</span>, <span class=""region"">IN</span> <span class=""postal-code"">46168</span>, <span class=""country-name"">USA</span>",El Paraiso Mexican Restaurant,,4.2,True,True,True,restaurant,
44,0,"<span class=""street-address"">5498 Emerson Way</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46226</span>, <span class=""country-name"">USA</span>",Golden Chef Chinese Restaurant,1.0,4.2,False,True,True,restaurant,True
41,0,"<span class=""street-address"">6673 Whitestown Pkwy</span>, <span class=""locality"">Zionsville</span>, <span class=""region"">IN</span> <span class=""postal-code"">46077</span>, <span class=""country-name"">USA</span>",El Rodeo Mexican Restaurant,2.0,4.2,True,True,True,restaurant,True
47,0,"<span class=""street-address"">40 W Jackson Pl</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46225</span>, <span class=""country-name"">USA</span>",1913 Restaurant,,4.2,True,True,True,restaurant,True
37,0,"<span class=""street-address"">4200 S East St #11</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46227</span>, <span class=""country-name"">USA</span>",EL Azabache Mexican Restaurant,1.0,4.3,True,True,True,restaurant,True
43,0,"<span class=""street-address"">6112 Cambridge Way</span>, <span class=""locality"">Plainfield</span>, <span class=""region"">IN</span> <span class=""postal-code"">46168</span>, <span class=""country-name"">USA</span>",The Coachman Restaurant and Lounge,2.0,4.3,False,True,True,restaurant,True
29,0,"<span class=""street-address"">3716 E 82nd St</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46240</span>, <span class=""country-name"">USA</span>",Luciana's #2 - Keystone Crossing,2.0,4.3,False,True,True,restaurant,
45,0,"<span class=""street-address"">5510 Lafayette Rd # 160</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46254-1690</span>, <span class=""country-name"">USA</span>",Puerto Vallarta Restaurant,1.0,4.3,True,True,True,restaurant,True
25,0,"<span class=""street-address"">1691 Curry Rd</span>, <span class=""locality"">Greenwood</span>, <span class=""region"">IN</span> <span class=""postal-code"">46143</span>, <span class=""country-name"">USA</span>",Arni's Restaurant - Greenwood,2.0,4.3,False,True,True,restaurant,
42,0,"<span class=""street-address"">2301 Conner St</span>, <span class=""locality"">Noblesville</span>, <span class=""region"">IN</span> <span class=""postal-code"">46060-3189</span>, <span class=""country-name"">USA</span>",Jim Dandy Family Restaurant,1.0,4.3,True,True,True,restaurant,True
9,0,"<span class=""street-address"">1274 U.S. Hwy 31 N</span>, <span class=""locality"">Greenwood</span>, <span class=""region"">IN</span> <span class=""postal-code"">46142</span>, <span class=""country-name"">USA</span>",Olive Garden Italian Restaurant,2.0,4.3,False,True,True,meal_takeaway,
17,0,"<span class=""street-address"">1000 N Madison Ave</span>, <span class=""locality"">Greenwood</span>, <span class=""region"">IN</span> <span class=""postal-code"">46142</span>, <span class=""country-name"">USA</span>",Pho Lai Restaurant,1.0,4.3,False,True,True,restaurant,
13,0,"<span class=""street-address"">5625 Lawton Loop E Dr</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46216-1015</span>, <span class=""country-name"">USA</span>",La Hacienda Mexican Restaurant,1.0,4.3,False,True,True,restaurant,
15,0,"<span class=""street-address"">912 N Morton St</span>, <span class=""locality"">Franklin</span>, <span class=""region"">IN</span> <span class=""postal-code"">46131</span>, <span class=""country-name"">USA</span>",La Cocina Mexican Restaurant,1.0,4.3,False,True,True,restaurant,
20,0,"<span class=""street-address"">10150 Brooks School Rd</span>, <span class=""locality"">Fishers</span>, <span class=""region"">IN</span> <span class=""postal-code"">46037</span>, <span class=""country-name"">USA</span>",El Lago Mexican Restaurant,2.0,4.4,True,True,True,restaurant,
11,0,"<span class=""street-address"">13910 Olivia Way</span>, <span class=""locality"">Fishers</span>, <span class=""region"">IN</span> <span class=""postal-code"">46037</span>, <span class=""country-name"">USA</span>",Thai Garden Restaurant,,4.4,True,True,True,restaurant,
33,0,"<span class=""street-address"">5012 Cambridge Way suite 129</span>, <span class=""locality"">Plainfield</span>, <span class=""region"">IN</span> <span class=""postal-code"">46168</span>, <span class=""country-name"">USA</span>",La Presa Mexican Restaurant Bar & Grill,,4.4,True,True,True,restaurant,True
14,0,"<span class=""street-address"">140 Perry Rd</span>, <span class=""locality"">Plainfield</span>, <span class=""region"">IN</span> <span class=""postal-code"">46168</span>, <span class=""country-name"">USA</span>",El Potro Mexican Restaurant Bar & Grill,1.0,4.4,False,True,True,restaurant,
46,0,"<span class=""street-address"">4705 E 96th St</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46240</span>, <span class=""country-name"">USA</span>",Arni's Restaurant - Indianapolis,2.0,4.4,False,True,True,restaurant,True
2,0,"<span class=""street-address"">8811 Hardegan St</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46227-6363</span>, <span class=""country-name"">USA</span>",Shallo's Antique Restaurant & Brewhaus,2.0,4.4,False,True,True,bar,
30,0,"<span class=""street-address"">2683 E Main St #113</span>, <span class=""locality"">Plainfield</span>, <span class=""region"">IN</span> <span class=""postal-code"">46168</span>, <span class=""country-name"">USA</span>",Reme's Restaurant,,4.5,True,True,True,restaurant,
4,0,"<span class=""street-address"">11720 E Washington St</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46229-3903</span>, <span class=""country-name"">USA</span>",Sero's Family Restaurant,2.0,4.5,True,True,True,restaurant,
16,0,"<span class=""street-address"">6916 E 30th St</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46219-1105</span>, <span class=""country-name"">USA</span>",His Place Eatery,1.0,4.5,True,True,True,restaurant,
23,0,"<span class=""street-address"">6815 E 82nd St</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46250</span>, <span class=""country-name"">USA</span>",Charleston's Restaurant,2.0,4.5,False,True,True,restaurant,
3,0,"<span class=""street-address"">15 E Main St #100</span>, <span class=""locality"">Carmel</span>, <span class=""region"">IN</span> <span class=""postal-code"">46032</span>, <span class=""country-name"">USA</span>",Papa Fattoush Restaurant,1.0,4.5,False,True,True,restaurant,
1,0,"<span class=""street-address"">3360 W Morris St</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46241</span>, <span class=""country-name"">USA</span>",El Corcel Mexican Restaurant # 1,1.0,4.5,True,True,True,restaurant,
36,0,"7840 E US HWY 36 GH, <span class=""locality"">Avon</span>, <span class=""region"">IN</span> <span class=""postal-code"">46123</span>, <span class=""country-name"">USA</span>",3 Agaves Mexican Restaurant,,4.5,True,True,True,restaurant,True
5,0,"<span class=""street-address"">1130 W 86th St</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46260</span>, <span class=""country-name"">USA</span>",Rusty Bucket Restaurant and Tavern,2.0,4.5,False,True,False,restaurant,
38,0,"<span class=""street-address"">819 W Carmel Dr</span>, <span class=""locality"">Carmel</span>, <span class=""region"">IN</span> <span class=""postal-code"">46032-5804</span>, <span class=""country-name"">USA</span>",Mi Hacienda Mexican Restaurant,1.0,4.5,True,True,True,restaurant,True
18,0,"<span class=""street-address"">2519 Albany St</span>, <span class=""locality"">Beech Grove</span>, <span class=""region"">IN</span> <span class=""postal-code"">46107</span>, <span class=""country-name"">USA</span>",El Morral Mexican Restaurant LLC,1.0,4.5,True,True,True,restaurant,
8,0,"<span class=""street-address"">2489 W 30th St #2268</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46222</span>, <span class=""country-name"">USA</span>",Iron Skillet Restaurant,2.0,4.5,True,True,True,restaurant,
6,0,"<span class=""street-address"">11505 Allisonville Rd</span>, <span class=""locality"">Fishers</span>, <span class=""region"">IN</span> <span class=""postal-code"">46038</span>, <span class=""country-name"">USA</span>",Sahm's Restaurant,2.0,4.5,False,True,True,bar,
31,0,"<span class=""street-address"">9419 N Meridian St</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46260-1308</span>, <span class=""country-name"">USA</span>",Daddy Jack's Restaurant & Bar,2.0,4.5,False,True,True,restaurant,
28,0,"<span class=""street-address"">4863 W Washington St</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46241</span>, <span class=""country-name"">USA</span>",Tios Mexican Restaurant,1.0,4.6,True,True,True,restaurant,
48,0,"<span class=""street-address"">653 Virginia Ave</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46203</span>, <span class=""country-name"">USA</span>",Bluebeard,3.0,4.6,False,True,True,bar,True
21,0,"<span class=""street-address"">50 IN-135 Suite A</span>, <span class=""locality"">Bargersville</span>, <span class=""region"">IN</span> <span class=""postal-code"">46106</span>, <span class=""country-name"">USA</span>",La Rosa Mexican Restaurant,1.0,4.6,True,True,True,restaurant,
34,0,"<span class=""street-address"">989 US 31 S</span>, <span class=""locality"">Whiteland</span>, <span class=""region"">IN</span> <span class=""postal-code"">46184</span>, <span class=""country-name"">USA</span>",El Abuelo Mexican Restaurant,1.0,4.6,False,True,True,restaurant,True
32,0,"<span class=""street-address"">1413 W 86th St</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46260</span>, <span class=""country-name"">USA</span>",3 in 1 Restaurant,1.0,4.8,True,True,True,restaurant,True
27,0,"<span class=""street-address"">5363 N College Ave</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46220-3141</span>, <span class=""country-name"">USA</span>",Yats,1.0,4.8,False,True,True,restaurant,
7,0,"<span class=""street-address"">4022 Shelby St</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46227-3625</span>, <span class=""country-name"">USA</span>",Open Kitchen Restaurant,2.0,4.8,True,True,True,bar,
